product_id,export_rca,location_code
1321,0,AGO
1322,0,AGO
1323,0,AGO
1324,0,AGO
1325,0,AGO
1326,0,AGO
1327,0,AGO
1328,0,AGO
1329,0,AGO
1330,0,AGO
1331,0,AGO
1332,0,AGO
1333,3.1156887e-06,AGO
1334,1.1522869e-05,AGO
1335,0.0008668562,AGO
1336,0,AGO
1337,2.4577004e-05,AGO
1338,0.00023309934,AGO
1339,9.739571e-05,AGO
1340,2.3017585e-05,AGO
1341,0,AGO
1342,0.0015385784,AGO
1343,0.0003490778,AGO
1344,3.704644e-05,AGO
1345,1.0048e-05,AGO
1346,0,AGO
1347,0.00031512487,AGO
1348,1.8627707e-05,AGO
1349,7.539895e-05,AGO
1350,1.630351e-05,AGO
1351,0.00016651052,AGO
1352,4.7166246e-05,AGO
1353,0.0001549061,AGO
1354,0,AGO
1355,0.00014682602,AGO
1356,3.9701037e-05,AGO
1357,0.00018373132,AGO
1358,0.00016121056,AGO
1359,4.958448e-05,AGO
1360,0.0007454985,AGO
1361,3.9214272e-05,AGO
1362,0,AGO
1363,0,AGO
1364,1.0550027e-05,AGO
1365,0,AGO
1366,4.43146e-05,AGO
1367,6.6131346e-05,AGO
1368,0,AGO
1369,2.3711205e-05,AGO
1370,0.00028705614,AGO
1371,0.0011352343,AGO
1372,0,AGO
1373,0.0009288629,AGO
1374,0.00014866701,AGO
1375,0,AGO
1376,2.079145e-05,AGO
1377,0.00019332049,AGO
1378,3.5410587e-05,AGO
1379,8.568009e-05,AGO
1380,5.9767435e-06,AGO
1381,0,AGO
1382,0,AGO
1383,0,AGO
1384,0,AGO
1385,3.975696e-05,AGO
1386,3.09737e-05,AGO
1387,0,AGO
1388,0.00030340094,AGO
1389,0,AGO
1390,0,AGO
1391,0,AGO
1392,0,AGO
1393,0.000284558,AGO
1394,0.0006338436,AGO
1395,0.0041062767,AGO
1396,0.0023209646,AGO
1397,0,AGO
1398,0,AGO
1399,6.8041605e-05,AGO
1400,8.7843284e-05,AGO
1401,0,AGO
1402,0,AGO
1403,0,AGO
1404,0.0002013232,AGO
1405,0,AGO
1406,0.00021764505,AGO
1407,0.0014641904,AGO
1408,0,AGO
1409,7.808677e-05,AGO
1410,0,AGO
1411,0,AGO
1412,0,AGO
1413,0,AGO
1414,0.0010099456,AGO
1415,0,AGO
1416,0.0011116635,AGO
1417,0,AGO
1418,0,AGO
1419,0.00048694568,AGO
1420,0.00039228774,AGO
1421,0,AGO
1422,0.000116291805,AGO
1423,0,AGO
1424,0,AGO
1425,0,AGO
1426,0,AGO
1427,0,AGO
1428,0,AGO
1429,0.00023653245,AGO
1430,0,AGO
1431,0,AGO
1432,2.7982736e-05,AGO
1433,0.0025939061,AGO
1434,0,AGO
1435,0,AGO
1436,4.1782154e-05,AGO
1437,0,AGO
1438,0,AGO
1439,0,AGO
1440,3.1550433e-05,AGO
1441,0.00017715163,AGO
1442,0,AGO
1443,0,AGO
1444,0,AGO
1445,2.1515727,AGO
1446,0,AGO
1447,0,AGO
1448,0,AGO
1449,0,AGO
1450,0,AGO
1451,0,AGO
1452,0,AGO
1453,0,AGO
1454,0,AGO
1455,0.0042965366,AGO
1456,0.013191767,AGO
1457,0.024338389,AGO
1458,0,AGO
1459,0.00035388386,AGO
1460,5.241563e-05,AGO
1461,0,AGO
1462,0,AGO
1463,0,AGO
1464,0,AGO
1465,0.07132993,AGO
1466,0,AGO
1467,0,AGO
1468,0,AGO
1469,5.186557e-07,AGO
1470,1.6589476e-05,AGO
1471,0,AGO
1472,0,AGO
1473,0,AGO
1474,0,AGO
1475,0.00013239162,AGO
1476,0,AGO
1477,0.00070876296,AGO
1478,0,AGO
1479,0,AGO
1480,0,AGO
1481,0,AGO
1482,0,AGO
1483,0,AGO
1484,0,AGO
1485,0,AGO
1486,0,AGO
1487,0,AGO
1488,0,AGO
1489,0.0006766758,AGO
1490,0,AGO
1491,0,AGO
1492,0.039252974,AGO
1493,0.002355406,AGO
1494,0.016741471,AGO
1495,0.03347408,AGO
1496,0.013210223,AGO
1497,0.0030340562,AGO
1498,0.0008531536,AGO
1499,0.0064414456,AGO
1500,0.0008246289,AGO
1501,0.0052365297,AGO
1502,0.002374152,AGO
1503,0,AGO
1504,0,AGO
1505,0.0049868263,AGO
1506,0.025635889,AGO
1507,0.00032564282,AGO
1508,0.00019787527,AGO
1509,0,AGO
1510,7.0568705e-05,AGO
1511,6.4455608e-06,AGO
1512,0,AGO
1513,4.6595942e-05,AGO
1514,0,AGO
1515,0.0001347347,AGO
1516,0.00454297,AGO
1517,0,AGO
1518,0,AGO
1519,0.22682106,AGO
1520,0.031469896,AGO
